imagePath,category,corrAns
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_10_1043.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_13_2403.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix1_50_3475.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_22_672.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_24_3648.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_27_1838.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_7_2636.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_2_3977.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_11_2635.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_3_2911.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_21_1475.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_17_2771.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_16_1163.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_28_1089.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_18_3179.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_26_903.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix1_48_3305.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_4_2102.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_1_3712.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_3_2798.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix1_47_1422.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_1_1875.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_7_1562.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_11_480.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix1_50_284.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_1_2507.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_17_166.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_20_508.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_22_2675.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split4/ix2_26_145.png,YES,right
