imagePath,category,corrAns
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_2_1281.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_19_991.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_30_3218.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_14_2366.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_14_1881.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_3_3549.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_16_1359.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_26_835.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_24_3067.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_20_3240.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_22_1100.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_5_1541.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_6_1437.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_34_1464.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_2_2985.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_23_3693.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_2_2695.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_2_2296.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_5_2452.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_24_45.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_26_1521.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_32_2789.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_32_273.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_4_2811.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_14_3739.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_6_1127.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_35_77.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_28_2570.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_20_937.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split1/baseline_29_1415.png,YES,right
