imagePath,category,corrAns
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_44_3177.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_29_2312.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_42_2352.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_28_3272.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_45_624.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_40_3483.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_44_483.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_41_3906.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_37_1585.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_45_770.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_49_1619.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_39_1483.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_38_2539.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_44_2971.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_47_1594.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_37_1073.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_35_3461.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_37_3274.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_33_1601.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_39_3252.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_36_381.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_47_2621.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_48_3366.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_50_3864.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_49_3428.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_42_3896.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_33_1114.png,YES,right
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_46_1414.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_32_2138.png,NO,left
/media/ext_disk1/Kalpit/cluttered_nist/split5/ix2_30_2593.png,YES,right
